postcode_district,total_properties,dominant_age_band,pre_1970_percentage,proxy_mode
AL1,20644,1900-1929,49.99,exclude_1967_1975
AL10,18222,1950-1966,45.00,exclude_1967_1975
AL2,10132,1950-1966,43.84,exclude_1967_1975
AL3,12420,1950-1966,57.84,exclude_1967_1975
AL4,11550,1950-1966,45.12,exclude_1967_1975
AL5,13016,1950-1966,49.93,exclude_1967_1975
AL6,4696,1950-1966,45.29,exclude_1967_1975
AL7,18881,1950-1966,40.43,exclude_1967_1975
AL8,5911,1950-1966,66.59,exclude_1967_1975
AL9,4903,1950-1966,54.33,exclude_1967_1975
B1,12675,2003-2006,5.58,exclude_1967_1975
B10,10689,1900-1929,77.18,exclude_1967_1975
B11,17528,1900-1929,82.58,exclude_1967_1975
B12,13145,1900-1929,44.66,exclude_1967_1975
B13,19516,1900-1929,67.24,exclude_1967_1975
B14,20376,1950-1966,65.42,exclude_1967_1975
B15,13351,1967-1975,18.40,exclude_1967_1975
B16,19691,1900-1929,47.28,exclude_1967_1975
B17,15069,1900-1929,64.13,exclude_1967_1975
B18,13409,1900-1929,40.44,exclude_1967_1975
B19,13713,1900-1929,50.60,exclude_1967_1975
B2,1049,2003-2006,24.69,exclude_1967_1975
B20,16477,1900-1929,68.16,exclude_1967_1975
B21,15657,1900-1929,84.29,exclude_1967_1975
B23,25882,1900-1929,58.45,exclude_1967_1975
B24,13864,1930-1949,60.32,exclude_1967_1975
B25,7371,1930-1949,76.92,exclude_1967_1975
B26,14514,1930-1949,73.04,exclude_1967_1975
B27,12137,1930-1949,74.12,exclude_1967_1975
B28,12011,1930-1949,73.87,exclude_1967_1975
B29,22338,1900-1929,76.28,exclude_1967_1975
B3,5029,2003-2006,7.60,exclude_1967_1975
B30,13967,1900-1929,65.20,exclude_1967_1975
B31,28159,1950-1966,54.06,exclude_1967_1975
B32,18339,1950-1966,54.89,exclude_1967_1975
B33,17141,1950-1966,68.01,exclude_1967_1975
B34,10490,1950-1966,61.26,exclude_1967_1975
B35,4912,1967-1975,14.01,exclude_1967_1975
B36,16136,1967-1975,45.39,exclude_1967_1975
B37,16703,1967-1975,26.94,exclude_1967_1975
B38,11026,1967-1975,35.12,exclude_1967_1975
B4,4069,unknown,5.21,exclude_1967_1975
B42,10733,1930-1949,70.92,exclude_1967_1975
B43,10695,1950-1966,66.69,exclude_1967_1975
B44,15696,1930-1949,82.37,exclude_1967_1975
B45,15123,1950-1966,43.38,exclude_1967_1975
B46,5670,1950-1966,50.21,exclude_1967_1975
B47,3682,1950-1966,44.46,exclude_1967_1975
B48,2212,1950-1966,51.40,exclude_1967_1975
B49,6096,1950-1966,42.13,exclude_1967_1975
B5,13880,2003-2006,18.79,exclude_1967_1975
B50,3420,unknown,29.33,exclude_1967_1975
B6,8954,1900-1929,58.98,exclude_1967_1975
B60,11446,1950-1966,32.75,exclude_1967_1975
B61,11306,1967-1975,39.97,exclude_1967_1975
B62,9625,1950-1966,61.93,exclude_1967_1975
B63,16374,1950-1966,56.49,exclude_1967_1975
B64,9059,1930-1949,41.09,exclude_1967_1975
B65,10814,1950-1966,55.73,exclude_1967_1975
B66,13686,1900-1929,44.98,exclude_1967_1975
B67,13399,1900-1929,88.67,exclude_1967_1975
B68,13319,1930-1949,72.57,exclude_1967_1975
B69,13712,1950-1966,47.97,exclude_1967_1975
B7,4913,1950-1966,47.53,exclude_1967_1975
B70,15098,1950-1966,53.03,exclude_1967_1975
B71,13580,1950-1966,60.99,exclude_1967_1975
B72,4029,1930-1949,57.48,exclude_1967_1975
B73,9441,1930-1949,61.95,exclude_1967_1975
B74,12293,1950-1966,47.09,exclude_1967_1975
B75,10996,1950-1966,55.68,exclude_1967_1975
B76,8402,1967-1975,27.20,exclude_1967_1975
B77,21705,1967-1975,22.94,exclude_1967_1975
B78,11156,1950-1966,42.26,exclude_1967_1975
B79,11449,1950-1966,37.49,exclude_1967_1975
B8,17096,1900-1929,79.59,exclude_1967_1975
B80,3699,1950-1966,44.71,exclude_1967_1975
B86,10,unknown,0.00,exclude_1967_1975
B9,10796,1900-1929,75.01,exclude_1967_1975
B90,22250,1930-1949,37.77,exclude_1967_1975
B91,14525,1950-1966,44.07,exclude_1967_1975
B92,15496,1930-1949,61.64,exclude_1967_1975
B93,7947,1950-1966,37.65,exclude_1967_1975
B94,3118,1950-1966,53.88,exclude_1967_1975
B95,3466,1950-1966,47.43,exclude_1967_1975
B96,2088,before 1900,49.28,exclude_1967_1975
B97,15927,1983-1990,29.80,exclude_1967_1975
B98,19602,1967-1975,19.93,exclude_1967_1975
BA1,24852,before 1900,66.66,exclude_1967_1975
BA10,1627,before 1900,42.96,exclude_1967_1975
BA11,16806,before 1900,38.24,exclude_1967_1975
BA12,15007,before 1900,44.11,exclude_1967_1975
BA13,10239,before 1900,28.90,exclude_1967_1975
BA14,22549,unknown,31.53,exclude_1967_1975
BA15,5984,before 1900,43.75,exclude_1967_1975
BA16,5789,1950-1966,38.73,exclude_1967_1975
BA2,38149,before 1900,60.11,exclude_1967_1975
BA20,6014,1900-1929,43.80,exclude_1967_1975
BA21,17614,1950-1966,38.13,exclude_1967_1975
BA22,9002,before 1900,41.84,exclude_1967_1975
BA3,14951,before 1900,45.68,exclude_1967_1975
BA39,16,unknown,6.25,exclude_1967_1975
